OrderID,CustomerID,EmployeeID,OrderDate,ShipperID,CustomerName,ContactName,Address,City,PostalCode,Country
10248,90,5,1996-07-04,3,Wilman Kala,Matti Karttunen,Keskuskatu 45,Helsinki,21240,Finland
10249,81,6,1996-07-05,1,Tradição Hipermercados,Anabela Domingues,"Av. Inês de Castro, 414",São Paulo,05634-030,Brazil
10250,34,4,1996-07-08,2,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil
10251,84,3,1996-07-08,1,Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France
10252,76,4,1996-07-09,2,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium
10253,34,3,1996-07-10,2,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil
10254,14,5,1996-07-11,2,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland
10255,68,9,1996-07-12,3,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland
10256,88,3,1996-07-15,2,Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil
10257,35,4,1996-07-16,3,HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela
10258,20,1,1996-07-17,1,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria
10259,13,4,1996-07-18,3,Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,México D.F.,05022,Mexico
10260,55,4,1996-07-19,1,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA
10261,61,4,1996-07-19,2,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil
10262,65,8,1996-07-22,3,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA
10263,20,9,1996-07-23,3,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria
10264,24,6,1996-07-24,3,Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden
